"","Journal","Frequency"
"143","aging cell","1"
"152","aids","1"
"165","american journal of orthodontics and dentofacial orthopedics","1"
"181","annals of pediatric endocrinology & metabolism","1"
"191","annals of translational medicine","1"
"201","applied sciences-basel","1"
"211","archives of oral biology","1"
"231","arthroscopy-the journal of arthroscopic and related surgery","1"
"251","biocell","1"
"271","biochemical pharmacology","1"
"281","biofabrication","1"
"291","bioimpacts","1"
"301","biological chemistry","1"
"311","biomacromolecules","1"
"331","biomaterials advances","1"
"341","biomaterials and biosystems","1"
"361","biomed research international","1"
"381","biomedical reports","1"
"401","biotechnology letters","1"
"411","bmc musculoskeletal disorders","1"
"421","bmc oral health","1"
"431","bmc research notes","1"
"44","bmc veterinary research","1"
"46","bone & joint research","1"
"47","bone research","1"
"48","breast cancer research","1"
"49","calcified tissue international","1"
"50","carcinogenesis","1"
"52","cell biology international","1"
"56","cellular & molecular biology letters","1"
"57","cellular and molecular life sciences","1"
"58","cellular signalling","1"
"60","chinese chemical letters","1"
"61","chinese physics b","1"
"62","clinical and translational medicine","1"
"63","clinical calcium","1"
"64","clinical oral implants research","1"
"67","developmental biology","1"
"68","differentiation","1"
"69","excli journal","1"
"71","experimental biology and medicine","1"
"74","febs journal","1"
"76","frontiers in chemistry","1"
"78","frontiers in immunology","1"
"80","genomics","1"
"81","inflammation and regeneration","1"
"85","international journal of molecular medicine","1"
"88","international journal of oral & maxillofacial implants","1"
"89","international journal of oral science","1"
"90","international journal of pharmaceutics","1"
"91","intractable & rare diseases research","1"
"92","iscience","1"
"93","italian journal of mineral & electrolyte metabolism","1"
"94","journal of biological chemistry","1"
"95","journal of biological engineering","1"
"99","journal of clinical periodontology","1"
"102","journal of dairy science","1"
"104","journal of hard tissue biology","1"
"107","journal of orthopaedic research","1"
"110","journal of orthopaedic trauma","1"
"111","journal of periodontal research","1"
"112","journal of personalized medicine","1"
"115","life sciences","1"
"116","materials science & engineering c-materials for biological applications","1"
"117","materials science & engineering. c, materials for biological applications","1"
"119","materials today communications","1"
"121","molecular biotechnology","1"
"124","molecular nutrition & food research","1"
"125","molecular therapy","1"
"126","molecular therapy-nucleic acids","1"
"129","nanoscale","1"
"131","nutrients","1"
"132","oral diseases","1"
"136","pharmacological research","1"
"137","pharmazie","1"
"139","prion","1"
"140","proceedings of the national academy of sciences of the united states of america","1"
"141","progress in orthodontics","1"
"144","revista de osteoporosis y metabolismo mineral","1"
"145","science china-life sciences","1"
"147","signal transduction and targeted therapy","1"
"149","small methods","1"
"151","stem cells and development","1"
"154","the american journal of sports medicine","1"
"158","tissue engineering. part a","1"
"159","translational oncology","1"
"160","voprosy kurortologii, fizioterapii, i lechebnoi fizicheskoi kultury","1"
"161","world journal of stem cells","1"
"162","zhong nan da xue xue bao. yi xue ban = journal of central south university. medical sciences","1"
"163","zhongguo gu shang = china journal of orthopaedics and traumatology","1"
"164","zhongguo xiu fu chong jian wai ke za zhi = zhongguo xiufu chongjian waike zazhi = chinese journal of reparative and reconstructive surgery","1"
"182","advanced drug delivery reviews","1"
"202","advanced nanobiomed research","1"
"232","animal models for stem cell therapy","1"
"241","annals of biomedical engineering","1"
"252","archives of biochemistry and biophysics","1"
"261","biochemical genetics","1"
"272","bioengineered","1"
"302","biomimicked biomaterials: advances in tissue engineering and regenerative medicine","1"
"312","bone reports","1"
"342","cellular and molecular biology","1"
"371","current osteoporosis reports","1"
"392","drug delivery","1"
"402","elife","1"
"412","endocrine journal","1"
"441","frontiers in dental medicine","1"
"45","hua xi kou qiang yi xue za zhi = huaxi kouqiang yixue zazhi = west china journal of stomatology","1"
"471","international journal of medical sciences","1"
"481","jbjs reviews","1"
"501","journal of controlled release: official journal of the controlled release society","1"
"53","journal of extracellular vesicles","1"
"581","journal of translational medicine","1"
"59","life-basel","1"
"601","materialia","1"
"621","nano today","1"
"631","orthopaedic surgery","1"
"66","polimery w medycynie","1"
"70","stem cell investigation","1"
