"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YCHH8J3P","journalArticle","2019","Pizzicannella, Jacopo; Diomede, Francesca; Gugliandolo, Agnese; Chiricosta, Luigi; Bramanti, Placido; Merciaro, Ilaria; Orsini, Tiziana; Mazzon, Emanuela; Trubiani, Oriana","3D Printing PLA/Gingival Stem Cells/ EVs Upregulate miR-2861 and-210 during Osteoangiogenesis Commitment","INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES","","1422-0067","10.3390/ijms20133256","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/5","Bone tissue regeneration strategies require approaches that provide an osteogenic and angiogenic microenvironment able to drive the bone growth. Recently, the development of 3D printing biomaterials, including poly(lactide) (3D-PLA), enriched with mesenchymal stem cells (MSCs) and/or their derivatives, such as extracellular vesicles (EVs) has been achieving promising results. In this study, in vitro results showed an increased expression of osteogenic and angiogenic markers, as RUNX2, VEGFA, OPN and COL1A1 in the living construct 3D-PLA/human Gingival MSCs (hGMSCs)/EVs. Considering that EVs carry and transfer proteins, mRNA and microRNA into target cells, we evaluated miR-2861 and miR-210 expression related to osteoangiogenesis commitment. Histological examination of rats implanted with 3D-PLA/hGMSCs/EVs evidenced the activation of bone regeneration and of the vascularization process, confirmed also by MicroCT. In synthesis, an upregulation of miR-2861 and -210 other than RUNX2, VEGFA, OPN and COL1A1 was evident in cells cultured in the presence of the biomaterial and EVs. Then, these results evidenced that EVs may enhance bone regeneration in calvaria defects, in association with an enhanced vascularization offering a novel regulatory system in the osteoangiogenesis evolution. The application of new strategies to improve biomaterial engraftment is of great interest in the regenerative medicine and can represent a way to promote bone regeneration.","2019-07-01","2024-01-26 18:24:20","2024-01-26 18:24:20","2024-01-26 18:24:17","3256","","13","20","","Int. J. Mol. Sci.","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 19 Place: Basel Publisher: MDPI Web of Science ID: WOS:000477041100143","","C:\Users\trent\Zotero\storage\D6N4YMCJ\Pizzicannella et al. - 2019 - 3D Printing PLAGingival Stem Cells EVs Upregulat.pdf","","","angiogenesis; DIFFERENTIATION; extracellular vesicles; IN-VITRO; mesenchymal stem cells; microRNA; MICRORNAS; osteogenesis; PROMOTION; scaffold; SCAFFOLDS; VEGF; VESICLES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9VEKGDU2","journalArticle","2020","Fan, Jiabing; Lee, Chung-Sung; Kim, Soyon; Chen, Chen; Aghaloo, Tara; Lee, Min","Generation of Small RNA-Modulated Exosome Mimetics for Bone Regeneration","ACS NANO","","1936-0851, 1936-086X","10.1021/acsnano.0c05122","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/5","Administration of exosomes is considered an attractive cell-free approach to skeletal repair and pathological disease treatment. However, poor yield for the production technique and unexpected therapeutic efficacy of exosomes have been obstacles to their widespread use in clinical practices. Here, we report an alternative strategy to produce exosome-related vesicles with high yields and improved regenerative capability. An extrusion approach was employed to amass exosome mimetics (EMs) from human mesenchymal stem cells (hMSCs). The collected EMs had a significantly increased proportion of vesicles positive for the exosome-specific CD-63 marker compared with MSC-derived exosomes. EMs were further obtained from genetically modified hMSCs in which expression of noggin, a natural bone morphogenetic protein antagonist, was down-regulated to enhance osteogenic properties of EMs. Moreover, the administration of hMSC-EMs in conjunction with an injectable chitosan hydrogel into mouse nonhealing calvarial defects demonstrated robust bone regeneration. Importantly, mechanistic studies revealed that the enhanced osteogenesis by EMs in which noggin was suppressed was mediated via inhibition of miR-29a. These findings demonstrate the great promise of MSC-mediated EMs and modulation of small RNA signaling for skeletal regeneration and cell-free therapy.","2020-09-22","2024-01-26 18:24:20","2024-01-26 18:24:20","2024-01-26 18:24:17","11973-11984","","9","14","","ACS Nano","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 12 Place: Washington Publisher: Amer Chemical Soc Web of Science ID: WOS:000615915300004","","C:\Users\trent\Zotero\storage\64Y3C8ER\Fan et al. - 2020 - Generation of Small RNA-Modulated Exosome Mimetics.pdf","","","bone; exosome mimetics; MSCs; noggin suppression; sRNAs","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FJAUJQ4J","journalArticle","2021","Wang, Tianbao; Zhou, Yongwei; Li, Xiaofei; Gao, Siqi; Yang, Qining","Comparison of postoperative effectiveness of less invasive short external rotator sparing approach versus standard posterior approach for total hip arthroplasty","JOURNAL OF ORTHOPAEDIC SURGERY AND RESEARCH","","1749-799X","10.1186/s13018-020-02188-2","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/5","BackgroundMost of the studies assessing the corrective posterior total hip arthroplasty (THA) mainly focused on the mini-incision approach. Studies exploring the short external rotator sparing approach are rare. Therefore, this study aimed to compare the effectiveness of standard posterior approach and short external rotator sparing approach.MethodsThis prospective observational study included 126 patients who underwent THA in June 2017-June 2018. Patients were assigned to standard (standard posterior approach) and corrective (short external rotator sparing approach) groups based on the surgical method. Surgical data were recorded postoperatively. Postoperative hip joint recovery was assessed using the times to ambulation and independent stair use, and Western Ontario and McMaster Universities Osteoarthritis Index (WOMAC) score, Harris score, and Oxford hip score (OHS) at 2 and 8 postoperative weeks. The visual analog scale (VAS) was used for postoperative pain assessment.ResultsPostoperative changes of creatine kinase (CK), myoglobin, CRP, and prosthesis position were similar in both groups (P > 0.05). However, intraoperative blood loss (P < 0.001) and postoperative 6-h drainage volume (P = 0.03), hospital stay, blood transfusion rate, and times to ambulation and independent stair use were significantly reduced in the corrective group. Postoperatively, Oxford, and WOMAC scores significantly decreased in both groups. After surgery, the VAS score was more overtly decreased in the corrective group compared with the standard group.ConclusionsThis study concluded that the less invasive short external rotator sparing approach for THA caused less damage, reducing perioperative blood loss, shortening functional recovery time, maintaining prosthesis stability, and improving postoperative pain.","2021-01-11","2024-01-26 18:24:20","2024-01-26 18:24:20","2024-01-26 18:24:18","46","","1","16","","J. Orthop. Surg. Res.","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 8 Place: London Publisher: BMC Web of Science ID: WOS:000609523200008","","C:\Users\trent\Zotero\storage\YIFWELDX\Wang et al. - 2021 - Comparison of postoperative effectiveness of less .pdf","","","Prospective study; Short external rotator sparing; Standard approach; Total hip arthroplasty","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NLS9BFJX","journalArticle","2023","Rong, Xiao; Tang, Yuanjiao; Cao, Sujiao; Xiao, Sutong; Wang, Haonan; Zhu, Bihui; Huang, Songya; Adeli, Mohsen; Rodriguez, Raul D.; Cheng, Chong; Ma, Lang; Qiu, Li","An Extracellular Vesicle-Cloaked Multifaceted Biocatalyst for Ultrasound-Augmented Tendon Matrix Reconstruction and Immune Microenvironment Regulation","ACS NANO","","1936-0851, 1936-086X","10.1021/acsnano.3c00911","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/5","The healing of tendon injury is often hindered by peritendinous adhesion and poor regeneration caused by the accumulation of reactive oxygen species (ROS), development of inflammatory responses, and the deposition of type-III collagen. Herein, an extracellular vesicles (EVs)-cloaked enzymatic nanohybrid (ENEV) was constructed to serve as a multifaceted biocatalyst for ultrasound (US)-augmented tendon matrix reconstruction and immune microenvironment regulation. The ENEV-based biocatalyst exhibits integrated merits for treating tendon injury, including the efficient catalase-mimetic scavenging of ROS in the injured tissue, sustainable release of Zn2+ ions, cellular uptake augmented by US, and immunoregulation induced by EVs. Our study suggests that ENEVs can promote tenocyte proliferation and type-I collagen synthesis at an early stage by protecting tenocytes from ROS attack. The ENEVs also prompted efficient immune regulation, as the polarization of macrophages (Mf) was reversed from M1f to M2f. In a rat Achilles tendon defect model, the ENEVs combined with US treatment significantly promoted functional recovery and matrix reconstruction, restored tendon morphology, suppressed intratendinous scarring, and inhibited peritendinous adhesion. Overall, this study offers an efficient nanomedicine for US-augmented tendon regeneration with improved healing outcomes and provides an alternative strategy to design multifaceted artificial biocatalysts for synergetic tissue regenerative therapies.","2023-08-24","2024-01-26 18:24:20","2024-01-26 18:24:20","2024-01-26 18:24:18","16501-16516","","17","17","","ACS Nano","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 16 Place: Washington Publisher: Amer Chemical Soc Web of Science ID: WOS:001063558400001","","","","","anti-inflammatory and tissueregeneration; biocatalytic therapies; BIOLOGY; ENHANCE; extracellular vesicles; III COLLAGEN; LIGHT; MACROPHAGE; MESENCHYMAL STEM-CELLS; MICROBUBBLES; nanomedicines; TENDINOPATHY; ultrasound","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KTK3WQDZ","journalArticle","2021","Lu, Cheng-Hsiu; Chen, Yi-An; Ke, Chien-Chih; Chiu, Sain-Jhih; Jeng, Fong-Shya; Chen, Chao-Cheng; Hsieh, Ya-Ju; Yang, Bang-Hung; Chang, Chi-Wei; Wang, Feng-Sheng; Liu, Ren-Shyan","Multiplexed Molecular Imaging Strategy Integrated with RNA Sequencing in the Assessment of the Therapeutic Effect of Wharton's Jelly Mesenchymal Stem Cell-Derived Extracellular Vesicles for Osteoporosis","INTERNATIONAL JOURNAL OF NANOMEDICINE","","1178-2013","10.2147/IJN.S335757","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/5","Introduction: Osteoporosis is a result of an imbalance in bone remodeling. Mesenchymal stem cell-derived extracellular vesicles (MSC-EVs) have been considered as a potentially promising treatment for osteoporosis. However, the therapeutic effect, genetic alterations, and in vivo behavior of exogenous EVs for osteoporosis in mice models remain poorly understood. Methods: A multiplexed molecular imaging strategy was constructed by micro-positron emission tomography (mu PET)/computed tomography (CT), mu CT, and optical imaging modality which reflected the osteoblastic activity, microstructure, and in vivo behavior of EVs, respectively. RNA sequencing was used to analyze the cargo of EVs, and the bone tissues of ovariectomized (OVX) mice post EV treatment. Results: The result of [F-18]NaF mu PET showed an increase in osteoblastic activity in the distal femur of EV-treated mice, and the bone structural parameters derived from mu CT were also improved. In terms of in vivo behavior of exogenous EVs, fluorescent dye-labeled EVs could target the distal femur of mice, whereas the uptakes of bone tissues were not significantly different between OVX mice and healthy mice. RNA sequencing demonstrated upregulation of ECM related genes, which might associate with the PI3K/AKT signaling pathway, in line with the results of microRNA analysis showing that mir-21, mir-29, mir-221, and let-7a were enriched in Wharton's jelly-MSC-EVs and correlated to the BMP and PI3K/AKT signaling pathways. Conclusion: The therapeutic effect of exogenous WJ-MSC-EVs in the treatment of osteoporosis was successfully assessed by a multiplexed molecular imaging strategy. The RNA sequencing demonstrated the possible molecular targets in the regulation of bone remodeling. The results highlight the novelty of diagnostic and therapeutic strategies of EV-based treatment for osteoporosis.","2021","2024-01-26 18:24:20","2024-01-26 18:24:20","2024-01-26 18:24:18","7813-7830","","","16","","Int. J. Nanomed.","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 18 Place: Albany Publisher: Dove Medical Press Ltd Web of Science ID: WOS:000725605100001","","C:\Users\trent\Zotero\storage\U5FIXUGT\Lu et al. - 2021 - Multiplexed Molecular Imaging Strategy Integrated .pdf","","","[F-18]NaF; BONE-MARROW; EXOSOMES; extracellular vesicles; F-18-NAF PET/CT; MECHANISMS; osteoporosis; RNA sequencing; Wharton's jelly mesenchymal stem cells","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"226QSZN5","journalArticle","2023","Rana, Neha; Suliman, Salwa; Al-Sharabi, Niyaz; Mustafa, Kamal","Macrophage Mediated Immunomodulation by Extracellular Vesicles Derived from Mesenchymal Stromal Cells Combined with Biphasic Calcium Phosphate Granules for Bone Regeneration","TISSUE ENGINEERING PART A","","1937-3341, 1937-335X","","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/5","","2023-06-01","2024-01-26 18:24:20","2024-01-26 18:24:20","2024-01-26 18:24:18","706-707","","11-12","29","","Tissue Eng. Part A","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Conference Name: Tissue Engineering and Regenerative Medicine International Society (TERMIS) Num Pages: 2 Place: New Rochelle Publisher: Mary Ann Liebert, Inc Web of Science ID: WOS:001008097000308","","","","","biomaterial; biphasic calcium phosphate; bone regeneration; cytokines; extracellular vesicles or EV; immunomodulation; macrophage polarization; macrophages; Mesenchymal stromal cells","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q7B82DK4","journalArticle","2022","Bari, Elia; Scocozza, Franca; Perteghella, Sara; Segale, Lorena; Sorlini, Marzio; Auricchio, Ferdinando; Conti, Michele; Torre, Maria Luisa","Three-Dimensional Bioprinted Controlled Release Scaffold Containing Mesenchymal Stem/Stromal Lyosecretome for Bone Regeneration: Sterile Manufacturing and In Vitro Biological Efficacy","BIOMEDICINES","","2227-9059","10.3390/biomedicines10051063","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/5","Recently, 3D-printed scaffolds for the controlled release of mesenchymal stem cell (MSC) freeze-dried secretome (Lyosecretome) have been proposed to enhance scaffold osteoinduction and osteoconduction; coprinting of poly(epsilon-caprolactone) (PCL) with alginate hydrogels allows adequate mechanical strength to be combined with the modulable kinetics of the active principle release. This study represents the feasibility study for the sterile production of coprinted scaffolds and the proof of concept for their in vitro biological efficacy. Sterile scaffolds were obtained, and Lyosecretome enhanced their colonization by MSCs, sustaining differentiation towards the bone line in an osteogenic medium. Indeed, after 14 days, the amount of mineralized matrix detected by alizarin red was significantly higher for the Lyosecretome scaffolds. The amount of osteocalcin, a specific bone matrix protein, was significantly higher at all the times considered (14 and 28 days) for the Lyosecretome scaffolds. Confocal microscopy further confirmed such results, demonstrating improved osteogenesis with the Lyosecretome scaffolds after 14 and 28 days. Overall, these results prove the role of MSC secretome, coprinted in PCL/alginate scaffolds, in inducing bone regeneration; sterile scaffolds containing MSC secretome are now available for in vivo pre-clinical tests of bone regeneration.","2022-05","2024-01-26 18:24:20","2024-01-26 18:24:20","2024-01-26 18:24:18","1063","","5","10","","Biomedicines","Three-Dimensional Bioprinted Controlled Release Scaffold Containing Mesenchymal Stem/Stromal Lyosecretome for Bone Regeneration","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 13 Place: Basel Publisher: MDPI Web of Science ID: WOS:000803512600001","","C:\Users\trent\Zotero\storage\L47Z2SG5\Bari et al. - 2022 - Three-Dimensional Bioprinted Controlled Release Sc.pdf","","","3D coprinting; alginate hydrogel; BIOMATERIALS; bone regenerative medicine; bone tissue engineering; CELLS; DESIGN; Lyosecretome; mesenchymal stem cells; MSC extracellular vesicles; MSC secretome; poly(epsilon-caprolactone); TISSUE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZNLQJ26","journalArticle","2019","Chen, Lifeng; Mou, Shan; Li, Fangying; Zeng, Yuyang; Sun, Yang; Horch, Raymund E.; Wei, Wei; Wang, Zhenxing; Sun, Jiaming","Self-Assembled Human Adipose-Derived Stem Cell-Derived Extracellular Vesicle-Functionalized Biotin-Doped Polypyrrole Titanium with Long-Term Stability and Potential Osteoinductive Ability","ACS APPLIED MATERIALS & INTERFACES","","1944-8244, 1944-8252","10.1021/acsami.9b17015","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/5","Mesenchymal stem cell-derived extracellular vesicles (MSC-EVs), containing proteins or microRNAs (miRNAs), possessing various biological activity and low immunogenicity, are considered promising for surface modification of bone grafts. However, the modification efficiency is not satisfied yet, resulting in compromised therapy effects. Here, we report a novel immobilized method by self-assembling biotinylated MSCEVs onto the surface of biotin-doped polypyrrole titanium (Bio-Ppy-Ti) to improve its biofunctions in vitro and in vivo. Using this method, the amount of human adipose derived stem cell-EVs (hASC-EVs) anchored onto the Bio-Ppy-Ti surface was 185-fold higher than that of pure Ti after ultrasonic concussion for 30 s and it remained stable on the Bio-Ppy-Ti surface for 14 days at 4 degrees C. Compared to pristine Ti, EV-Bio-Ppy-Ti exhibited enhanced cell compatibility and osteoinductivity for osteoblasts in vitro and antiapoptosis ability in the ectopic bone formation mode. Gene chip analysis further demonstrated that several osteoinductive miRNAs were encapsulated in hASC-EVs, which may explain the high bone regeneration ability of EV-Bio-Ppy-Ti. Thus, this MSC-EV biotin-immobilized method appears to be highly efficient and long-term stable for demonstrating its potential for clinical metal implants.","2019-12-11","2024-01-26 18:24:20","2024-01-26 18:24:20","2024-01-26 18:24:18","46183-46196","","49","11","","ACS Appl. Mater. Interfaces","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 14 Place: Washington Publisher: Amer Chemical Soc Web of Science ID: WOS:000502689000086","","","","","adipose stem cell-derived extracellular vesicles; biotin-streptavidin complex; DIFFERENTIATION; osteoinductivity; polypyrrole; PROTEINS; STRATEGY; SURFACE FUNCTIONALIZATION; surface modification","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I48NB5KH","journalArticle","2019","Wei, Fei; Li, Mengting; Crawford, Ross; Zhou, Yinghong; Xiao, Yin","Exosome-integrated titanium oxide nanotubes for targeted bone regeneration","ACTA BIOMATERIALIA","","1742-7061, 1878-7568","10.1016/j.actbio.2019.01.006","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/5","Exosomes are extracellular nanovesicles that play an important role in cellular communication. The modulatory effects of bone morphogenetic protein 2 (BMP2) on macrophages have encouraged the functionalization of scaffolds through the integration of the exosomes from the BMP2-stimulated macrophages to avoid ectopic bone formation and reduce adverse effects. To determine the functionality of exosomal nanocarriers from macrophages after BMP2 stimulation, we isolated the exosomes from Dulbecco's modified Eagle's medium (DMEM)- or BMP2-stimulated macrophages and evaluated their effects on osteogenesis. Morphological characterization of the exosomes derived from DMEM- or BMP2-treated macrophages revealed no significant differences, and the bone marrow-derived mesenchymal stromal cells showed similar cellular uptake patterns for both exosomes. In vitro study using BMP2/macrophage-derived exosomes indicated their beneficial effects on osteogenic differentiation. To improve the bio-functionality for titanium implants, BMP2/macrophage-derived exosomes were used to modify titanium nanotube implants to favor osteogenesis. The incorporation of BMP2/macrophage-derived exosomes dramatically increased the expression of early osteoblastic differentiation markers, alkaline phosphatase (ALP) and BMP2, indicative of the pro-osteogenic role of the titanium nanotubes incorporated with BMP2/macrophage-derived exosomes. The titanium nanotubes functionalized with BMP2/macrophage-derived exosomes activated autophagy during osteogenic differentiation. In conclusion, the exosome-integrated titanium nanotube may serve as an emerging functional material for bone regeneration. Statement of Significance The clinical application of bone morphogenetic protein 2 (BMP2) is often limited by its side effects. Exosomes are naturally secreted nanosized vesicles derived from cells and play an important role in intercellular communication. The contributions of this study include (1) the demonstration of the potential regulatory role of BMP2/macrophage-derived exosomes on the osteogenic differentiation of mesenchymal stromal cells (MSCs); (2) fabrication of titanium nanotubes incorporated with exosomes; (3) new insights into the application of titanium nanotube-based materials for the safe use of BMP2. (C) 2019 Acta Materialia Inc. Published by Elsevier Ltd. All rights reserved.","2019-03-01","2024-01-26 18:24:20","2024-01-26 18:24:20","2024-01-26 18:24:18","480-492","","","86","","Acta Biomater.","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 13 Place: Oxford Publisher: Elsevier Sci Ltd Web of Science ID: WOS:000459842600039","","C:\Users\trent\Zotero\storage\VL8PZQ7N\Wei et al. - 2019 - Exosome-integrated titanium oxide nanotubes for ta.pdf","","","AUTOPHAGY; BMP2; BURDEN; DELIVERY VEHICLES; DIFFERENTIATION; Exosome; IMPLANTS; IN-VIVO; Macrophages; MESENCHYMAL STROMAL CELLS; MORPHOGENETIC PROTEIN-2; OSSEOINTEGRATION; Osteogenesis; TIO2 NANOTUBES; Titanium nanotubes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8AERUEHQ","journalArticle","2023","Whitlock, Jarred M.; de Castro, Luis F.; Collins, Michael T.; Chernomordik, Leonid; Boyce, Alison M.","An inducible explant model of osteoclast-osteoprogenitor coordination in exacerbated osteoclastogenesis","ISCIENCE","","2589-0042","10.1016/j.isci.2023.106470","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/5","Elucidating a basic blueprint of osteoclast-osteoblast coordination in skeletal re-modeling and understanding how this coordination breaks down with age and disease is essential for addressing the growing skeletal health problem in our ag-ing population. The paucity of simple, activatable, biologically relevant models of osteoclast-osteoblast coordination has hindered our understanding of how skel-etal remolding is regulated. Here, we describe an inducible ex vivo model of oste-oclast-osteoblast progenitor coordination. Induction activates the release of osteoclastogenic factors from osteoprogenitors, which elicits the differentiation and fusion of neighboring preosteoclasts. In turn, multinucleated osteoclasts release soluble coupling factors, RANK(+) extracellular vesicles and promote os-teoprogenitor proliferation, recapitulating aspects of perturbed coordination in diseases underpinned by excessive osteoclast formation. We expect this model to expedite the investigation of cell-cell fusion, osteoclast-osteoblast progenitor coordination, and extracellular vesicle signaling during bone remodeling and offer a powerful tool for evaluating signaling cascades and novel therapeutic interventions in osteoclast-linked skeletal disease.","2023-04-21","2024-01-26 18:24:20","2024-01-26 18:24:20","2024-01-26 18:24:18","106470","","4","26","","iScience","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 19 Place: Cambridge Publisher: Cell Press Web of Science ID: WOS:000996773000001","","C:\Users\trent\Zotero\storage\8U9HGEY5\Whitlock et al. - 2023 - An inducible explant model of osteoclast-osteoprog.pdf","","","BONE; DIFFERENTIATION; EXPRESSION; EXTRACELLULAR VESICLES; FIBROUS DYSPLASIA; IN-VITRO; INTERLEUKIN-6; MACROPHAGES; OSTEOBLASTIC CELLS; SURFACE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DVUDXKDH","journalArticle","2021","Huang, Ba; Su, Yongwei; Shen, Enpu; Song, Meng; Liu, Danping; Qi, Hui","Extracellular vesicles from GPNMB-modified bone marrow mesenchymal stem cells attenuate bone loss in an ovariectomized rat model","LIFE SCIENCES","","0024-3205, 1879-0631","10.1016/j.lfs.2021.119208","https://www.webofscience.com/wos/woscc/summary/c50d89ae-005a-444f-909a-ee012a54a141-c8b2361a/relevance/5","Aims: The efficacy of anti-osteoporotic treatments is still limited. Our study aimed to investigate the effect of extracellular vesicles (EVs) derived from bone marrow-derived MSCs (BMSCs) overexpressing glycoprotein non-melanoma clone B (GPNMB) on osteoporosis (OP). Main methods: Lentiviral vector for GPNMB overexpression or its negative control was generated and transfected into BMSCs. EVs enriched with GPNMB (GPNMB-EVs) were extracted from GPNMB-modified BMSC-conditioned medium and then identified. Cellular uptake and proliferation were analyzed using the Dil-labeled assay and CCK-8 assay, respectively. Cytochemical staining, western blot, and RT-qPCR analysis were performed to assess the effect of GPNMB-EVs on osteogenic differentiation of BMSCs in vitro. Dickkopf-1 (DKK1) as the inhibitor was applied to explore the Wnt/beta-catenin signaling pathway involved in the GPNMB-EV-induced osteogenic differentiation. In vivo experiments were conducted using an ovariectomized (OVX) rat model of postmenopausal osteoporosis, and then assessed the effect of GPNMB-EVs by micro-CT, and histological and immunohistochemical assays. Key findings: GPNMB-EVs were taken up by BMSCs, and they noticeably promoted the proliferation of BMSCs. Additionally, GPNMB-EVs activated the Wnt/beta-catenin signaling to stimulate osteogenesis in BMSCs. In vivo examination showed that GPNMB-EVs remarkably improved trabecular bone regeneration and alleviated the osteoporotic phenotype in the OVX-induced rat model of OP. Significance: EVs derived from GPNMB-modified BMSCs significantly stimulated the proliferation and osteogenic differentiation of BMSCs via the activation of Wnt/beta-catenin signaling and attenuated the bone loss in the OVX-induced rat model of OP. Our findings suggest the promising potential of GPNMB-EVs as cell-free therapy for the treatment of OP.","2021-05-01","2024-01-26 18:24:20","2024-01-26 18:24:20","2024-01-26 18:24:18","119208","","","272","","Life Sci.","","","","","","","","English","","","","","Clarivate Analytics Web of Science","","Num Pages: 15 Place: Oxford Publisher: Pergamon-Elsevier Science Ltd Web of Science ID: WOS:000628911100014","","","","","Extracellular vesicles; FEMORAL-HEAD; FORMATION IN-VIVO; Glycoprotein non-melanoma clone B; Mesenchymal stem cells; OSTEOACTIVIN; OSTEOBLAST DIFFERENTIATION; Osteogenesis; Osteoporosis; OSTEOPOROSIS; PREVENTION; REGENERATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
